epoch,lr-Adam/geometry.density_network,lr-Adam/geometry.encoding.encoding.encoding,lr-Adam/geometry.encoding.encoding.encoding_time,lr-Adam/geometry.feature_network,step,train/grad_norm,train/grad_norm_3d,train/loss_mask,train/loss_rgb,train/loss_sd_3d,train/loss_sds_video,train/max_step_3d,train/min_step_3d,train_params/lambda_3d_sd,train_params/lambda_mask,train_params/lambda_normal_smoothness_2d,train_params/lambda_opaque,train_params/lambda_orient,train_params/lambda_rgb,train_params/lambda_sds_video,train_params/lambda_sparsity,train_params/lambda_tv,train_params/lambda_z_variance,trian/loss_normal_smoothness_2d
0,,,,,58,92.6064453125,10.351962089538574,0.012097802013158798,0.0037306598387658596,53.581565856933594,4287.9765625,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005310557782649994
,0.001,0.0001,0.01,0.001,59,,,,,,,,,,,,,,,,,,,
0,,,,,59,91.7660903930664,10.351962089538574,0.012097802013158798,0.0037306598387658596,53.581565856933594,4210.5078125,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0057440148666501045
,0.001,0.0001,0.01,0.001,60,,,,,,,,,,,,,,,,,,,
0,,,,,60,49.973148345947266,10.351962089538574,0.012097802013158798,0.0037306598387658596,53.581565856933594,1248.6578369140625,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005658975802361965
,0.001,0.0001,0.01,0.001,61,,,,,,,,,,,,,,,,,,,
0,,,,,61,261.5228271484375,4.181127548217773,0.012546970508992672,0.0036839833483099937,8.740913391113281,34197.09765625,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005576356779783964
,0.001,0.0001,0.01,0.001,62,,,,,,,,,,,,,,,,,,,
0,,,,,62,379.2403259277344,4.181127548217773,0.012546970508992672,0.0036839833483099937,8.740913391113281,71911.609375,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.00678118085488677
,0.001,0.0001,0.01,0.001,63,,,,,,,,,,,,,,,,,,,
0,,,,,63,32.957359313964844,4.181127548217773,0.012546970508992672,0.0036839833483099937,8.740913391113281,543.0938110351562,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005701080895960331
,0.001,0.0001,0.01,0.001,64,,,,,,,,,,,,,,,,,,,
0,,,,,64,188.80174255371094,4.181127548217773,0.012546970508992672,0.0036839833483099937,8.740913391113281,17823.048828125,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005964760668575764
,0.001,0.0001,0.01,0.001,65,,,,,,,,,,,,,,,,,,,
0,,,,,65,42.11860275268555,4.181127548217773,0.012546970508992672,0.0036839833483099937,8.740913391113281,886.9884033203125,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.00822786707431078
,0.001,0.0001,0.01,0.001,66,,,,,,,,,,,,,,,,,,,
0,,,,,66,332.54644775390625,4.181127548217773,0.012546970508992672,0.0036839833483099937,8.740913391113281,55293.5703125,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.007979042828083038
,0.001,0.0001,0.01,0.001,67,,,,,,,,,,,,,,,,,,,
0,,,,,67,220.5396728515625,4.181127548217773,0.012546970508992672,0.0036839833483099937,8.740913391113281,24318.875,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005626074504107237
,0.001,0.0001,0.01,0.001,68,,,,,,,,,,,,,,,,,,,
0,,,,,68,307.87078857421875,4.181127548217773,0.012546970508992672,0.0036839833483099937,8.740913391113281,47392.20703125,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.007194528356194496
,0.001,0.0001,0.01,0.001,69,,,,,,,,,,,,,,,,,,,
0,,,,,69,417.1404724121094,4.181127548217773,0.012546970508992672,0.0036839833483099937,8.740913391113281,87003.0859375,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.008531786501407623
,0.001,0.0001,0.01,0.001,70,,,,,,,,,,,,,,,,,,,
0,,,,,70,66.31109619140625,4.181127548217773,0.012546970508992672,0.0036839833483099937,8.740913391113281,2198.58056640625,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.006155407056212425
,0.001,0.0001,0.01,0.001,71,,,,,,,,,,,,,,,,,,,
