epoch,lr-Adam/geometry.density_network,lr-Adam/geometry.encoding.encoding.encoding,lr-Adam/geometry.encoding.encoding.encoding_time,lr-Adam/geometry.feature_network,step,train/grad_norm,train/grad_norm_3d,train/loss_mask,train/loss_rgb,train/loss_sd_3d,train/loss_sds_video,train/max_step_3d,train/min_step_3d,train_params/lambda_3d_sd,train_params/lambda_mask,train_params/lambda_normal_smoothness_2d,train_params/lambda_opaque,train_params/lambda_orient,train_params/lambda_rgb,train_params/lambda_sds_video,train_params/lambda_sparsity,train_params/lambda_tv,train_params/lambda_z_variance,trian/loss_normal_smoothness_2d
0,,,,,48,356.3354797363281,22.841035842895508,0.028925027698278427,0.00955875962972641,260.8564453125,63487.48828125,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.007416216656565666
,0.001,0.0001,0.01,0.001,49,,,,,,,,,,,,,,,,,,,
0,,,,,49,227.00843811035156,11.680562019348145,0.028072340413928032,0.009343307465314865,68.21776580810547,25766.4140625,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005607043392956257
,0.001,0.0001,0.01,0.001,50,,,,,,,,,,,,,,,,,,,
0,,,,,50,243.03622436523438,11.680562019348145,0.028072340413928032,0.009343307465314865,68.21776580810547,29533.3046875,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.008714906871318817
,0.001,0.0001,0.01,0.001,51,,,,,,,,,,,,,,,,,,,
0,,,,,51,447.5450134277344,11.680562019348145,0.028072340413928032,0.009343307465314865,68.21776580810547,100148.265625,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.006953901145607233
,0.001,0.0001,0.01,0.001,52,,,,,,,,,,,,,,,,,,,
0,,,,,52,254.8394775390625,11.680562019348145,0.028072340413928032,0.009343307465314865,68.21776580810547,32471.580078125,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0051788631826639175
,0.001,0.0001,0.01,0.001,53,,,,,,,,,,,,,,,,,,,
0,,,,,53,294.04742431640625,11.680562019348145,0.028072340413928032,0.009343307465314865,68.21776580810547,43231.94140625,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.006483667530119419
,0.001,0.0001,0.01,0.001,54,,,,,,,,,,,,,,,,,,,
0,,,,,54,121.62642669677734,11.680562019348145,0.028072340413928032,0.009343307465314865,68.21776580810547,7396.49365234375,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005723083391785622
,0.001,0.0001,0.01,0.001,55,,,,,,,,,,,,,,,,,,,
0,,,,,55,195.29385375976562,11.680562019348145,0.028072340413928032,0.009343307465314865,68.21776580810547,19069.84375,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.00787362176924944
,0.001,0.0001,0.01,0.001,56,,,,,,,,,,,,,,,,,,,
0,,,,,56,428.46002197265625,11.680562019348145,0.028072340413928032,0.009343307465314865,68.21776580810547,91789.0,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.007341508753597736
,0.001,0.0001,0.01,0.001,57,,,,,,,,,,,,,,,,,,,
0,,,,,57,291.2493896484375,11.680562019348145,0.028072340413928032,0.009343307465314865,68.21776580810547,42413.109375,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005610656458884478
