epoch,lr-Adam/geometry.density_network,lr-Adam/geometry.encoding.encoding.encoding,lr-Adam/geometry.encoding.encoding.encoding_time,lr-Adam/geometry.feature_network,step,train/grad_norm,train/grad_norm_3d,train/grad_norm_cn,train/loss_mask,train/loss_rgb,train/loss_sd_3d,train/loss_sds_cn,train/loss_sds_video,train/max_step_3d,train/max_step_cn,train/min_step_3d,train/min_step_cn,train_params/lambda_3d_sd,train_params/lambda_cn_sds,train_params/lambda_mask,train_params/lambda_normal_smoothness_2d,train_params/lambda_opaque,train_params/lambda_orient,train_params/lambda_rgb,train_params/lambda_sds_video,train_params/lambda_sparsity,train_params/lambda_tv,train_params/lambda_z_variance,trian/loss_normal_smoothness_2d
0,,,,,28,520.295166015625,9.996233940124512,26.43526268005371,0.045523833483457565,0.013415406458079815,49.96234893798828,174.7057647705078,135353.53125,600.0,980.0,200.0,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.007995580323040485
,0.001,0.0001,0.01,0.001,29,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,29,252.54576110839844,12.311209678649902,12.899226188659668,0.044978298246860504,0.013414564542472363,75.78294372558594,41.597503662109375,31889.681640625,600.0,980.0,200.0,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.007376797031611204
,0.001,0.0001,0.01,0.001,30,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,30,511.59002685546875,12.311209678649902,16.092885971069336,0.044978298246860504,0.013414564542472363,75.78294372558594,64.7452392578125,130862.171875,600.0,980.0,200.0,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.006701817736029625
,0.001,0.0001,0.01,0.001,31,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,31,48.57284927368164,12.311209678649902,25.947444915771484,0.044978298246860504,0.013414564542472363,75.78294372558594,168.31747436523438,1179.660888671875,600.0,980.0,200.0,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.006784083787351847
,0.001,0.0001,0.01,0.001,32,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,32,478.36163330078125,12.311209678649902,15.354133605957031,0.044978298246860504,0.013414564542472363,75.78294372558594,58.93736267089844,114414.9375,600.0,980.0,200.0,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.008915611542761326
,0.001,0.0001,0.01,0.001,33,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,33,478.5708312988281,12.311209678649902,39.10774230957031,0.044978298246860504,0.013414564542472363,75.78294372558594,382.3538818359375,114515.015625,600.0,980.0,200.0,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.009667400270700455
,0.001,0.0001,0.01,0.001,34,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,34,267.70159912109375,12.311209678649902,23.432994842529297,0.044978298246860504,0.013414564542472363,75.78294372558594,137.27630615234375,35832.0703125,600.0,980.0,200.0,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.007665100507438183
,0.001,0.0001,0.01,0.001,35,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,35,205.67893981933594,12.311209678649902,17.360416412353516,0.044978298246860504,0.013414564542472363,75.78294372558594,75.34600830078125,21151.9140625,600.0,980.0,200.0,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.009647306054830551
,0.001,0.0001,0.01,0.001,36,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,36,237.65782165527344,12.311209678649902,18.17854118347168,0.044978298246860504,0.013414564542472363,75.78294372558594,82.61483764648438,28240.62109375,600.0,980.0,200.0,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.00874986033886671
,0.001,0.0001,0.01,0.001,37,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,37,418.5332336425781,12.311209678649902,26.467851638793945,0.044978298246860504,0.013414564542472363,75.78294372558594,175.1367950439453,87585.0390625,600.0,980.0,200.0,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.008830404840409756
,0.001,0.0001,0.01,0.001,38,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,38,412.22076416015625,12.311209678649902,27.08231544494629,0.044978298246860504,0.013414564542472363,75.78294372558594,183.36294555664062,84962.9765625,600.0,980.0,200.0,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.008227525278925896
